"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2024","518.54","521.74","521.74","515.52","35.56M","-0.94%"
"07/02/2024","523.45","519.63","525.22","517.78","31.58M","0.73%"
"06/02/2024","519.67","513.24","520.95","513.04","36.13M","1.22%"
"05/02/2024","513.42","517.32","517.32","507.73","43.68M","-1.80%"
"02/02/2024","522.85","524.84","525.41","516.26","37.88M","-0.52%"
"01/02/2024","525.60","524.96","530.48","521.31","58.12M","0.30%"
"31/01/2024","524.05","530.23","536.30","523.88","53.51M","-1.16%"
"30/01/2024","530.20","514.14","532.36","512.84","43.63M","2.67%"
"29/01/2024","516.42","510.41","516.91","504.26","31.24M","1.19%"
"26/01/2024","510.34","508.79","516.36","508.31","26.51M","0.30%"
"25/01/2024","508.83","510.44","512.38","505.00","35.49M","0.05%"
"24/01/2024","508.59","497.73","513.83","497.73","58.07M","1.69%"
"23/01/2024","500.16","495.89","506.82","495.89","47.71M","1.10%"
"22/01/2024","494.74","494.09","496.54","488.56","40.94M","0.02%"
"19/01/2024","494.62","491.48","495.53","487.06","32.75M","0.60%"
"18/01/2024","491.67","495.10","497.47","488.71","39.38M","-0.40%"
"17/01/2024","493.65","496.63","496.63","489.00","36.38M","-0.87%"
"16/01/2024","497.96","505.81","505.81","496.78","42.58M","-2.17%"
"12/01/2024","509.02","511.17","516.00","506.56","27.40M","-0.03%"
"11/01/2024","509.18","511.48","512.61","505.13","32.36M","-0.33%"
"10/01/2024","510.89","511.77","512.27","507.63","28.36M","-0.19%"
"09/01/2024","511.87","522.36","522.36","511.25","35.17M","-2.18%"
"08/01/2024","523.26","515.43","523.58","509.69","29.27M","1.57%"
"05/01/2024","515.17","514.82","519.96","511.74","37.46M","-0.11%"
"04/01/2024","515.74","521.44","522.67","514.87","36.00M","-1.10%"
"03/01/2024","521.47","524.42","526.71","514.00","42.79M","-0.83%"
"02/01/2024","525.84","524.73","530.96","522.17","29.34M","-0.42%"
"29/12/2023","528.04","529.69","532.12","526.66","22.51M","-0.89%"
"28/12/2023","532.76","535.66","536.12","531.98","20.82M","-0.82%"
"27/12/2023","537.16","535.16","539.67","534.11","23.86M","0.36%"
"26/12/2023","535.21","533.00","537.15","533.00","22.16M","0.47%"
"22/12/2023","532.70","528.82","535.16","528.82","29.96M","0.78%"
"21/12/2023","528.59","522.51","529.02","522.51","31.10M","1.36%"
"20/12/2023","521.51","529.46","532.74","521.39","51.29M","-1.75%"
"19/12/2023","530.79","522.01","532.94","522.01","76.70M","1.80%"
"18/12/2023","521.43","523.36","533.22","521.20","138.01M","1.78%"
"15/12/2023","512.30","505.54","518.87","505.54","84.33M","0.59%"
"14/12/2023","509.28","487.74","511.33","487.74","72.69M","4.29%"
"13/12/2023","488.34","472.90","489.49","469.75","68.69M","3.29%"
"12/12/2023","472.78","475.97","477.38","469.81","31.38M","-0.86%"
"11/12/2023","476.89","473.83","477.44","467.33","25.45M","0.52%"
"08/12/2023","474.42","468.35","480.97","468.35","35.76M","1.24%"
"07/12/2023","468.60","468.44","471.43","463.78","31.95M","0.36%"
"06/12/2023","466.90","473.13","478.33","466.67","30.40M","-1.40%"
"05/12/2023","473.54","481.89","481.89","472.93","35.69M","-2.18%"
"04/12/2023","484.11","492.68","492.68","484.03","38.32M","-2.11%"
"01/12/2023","494.57","482.90","497.28","482.90","52.59M","2.60%"
"30/11/2023","482.04","473.63","482.34","473.29","40.95M","1.91%"
"29/11/2023","473.01","469.99","473.69","469.02","31.18M","0.71%"
"28/11/2023","469.69","468.15","473.45","466.26","37.95M","0.41%"
"27/11/2023","467.76","463.27","468.35","459.85","26.05M","1.00%"
"24/11/2023","463.11","463.71","464.78","460.38","11.69M","-0.22%"
"22/11/2023","464.14","464.61","465.23","461.40","21.61M","-0.10%"
"21/11/2023","464.61","462.63","469.45","462.51","24.55M","0.36%"
"20/11/2023","462.94","460.35","467.46","460.35","27.90M","0.65%"
"17/11/2023","459.96","456.86","462.96","456.86","24.83M","0.89%"
"16/11/2023","455.88","460.12","461.04","451.68","25.81M","-1.05%"
"15/11/2023","460.71","455.32","464.48","455.32","33.45M","1.23%"
"14/11/2023","455.12","443.02","459.15","443.02","31.38M","3.14%"
"13/11/2023","441.27","442.78","444.03","439.46","20.96M","-0.45%"
"10/11/2023","443.27","439.35","443.74","436.84","24.75M","0.95%"
"09/11/2023","439.08","444.44","447.64","437.99","25.48M","-1.00%"
"08/11/2023","443.51","444.85","448.54","440.55","31.79M","-0.43%"
"07/11/2023","445.43","452.14","452.14","443.62","33.95M","-1.99%"
"06/11/2023","454.48","453.94","457.21","453.25","27.89M","0.44%"
"03/11/2023","452.47","452.00","460.78","452.00","32.30M","0.40%"
"02/11/2023","450.66","443.15","451.26","443.15","32.65M","2.71%"
"01/11/2023","438.78","437.06","438.86","431.98","37.59M","0.62%"
"31/10/2023","436.08","435.92","438.99","431.17","43.05M","0.06%"
"30/10/2023","435.82","431.31","437.70","431.00","42.32M","1.14%"
"27/10/2023","430.91","430.61","434.58","427.36","42.67M","0.30%"
"26/10/2023","429.64","426.16","435.73","426.16","40.09M","0.94%"
"25/10/2023","425.63","429.69","431.60","423.83","36.04M","-1.04%"
"24/10/2023","430.12","420.47","433.05","420.47","50.14M","3.26%"
"23/10/2023","416.56","418.85","421.64","414.17","39.94M","-0.83%"
"20/10/2023","420.05","428.40","429.37","419.91","44.97M","-2.15%"
"19/10/2023","429.26","435.83","440.68","428.10","52.71M","-1.53%"
"18/10/2023","435.91","446.91","446.91","435.29","47.95M","-3.08%"
"17/10/2023","449.74","441.24","452.18","438.12","32.10M","1.27%"
